Revised 2019-2023 Labor Force Data,,,,,,
,,,Labor Force,Employed,Unemployed,Unemployment
Area,Year,Month,,,,Rate (%)
Queens County,2023,Jan," 	1,147,100 "," 	1,091,000 "," 	56,100 ", 	4.9 
Queens County,2023,Feb," 	1,159,500 "," 	1,101,600 "," 	58,000 ", 	5.0 
Queens County,2023,Mar," 	1,161,700 "," 	1,108,300 "," 	53,300 ", 	4.6 
Queens County,2023,Apr," 	1,149,500 "," 	1,101,200 "," 	48,300 ", 	4.2 
Queens County,2023,May," 	1,152,900 "," 	1,102,600 "," 	50,400 ", 	4.4 
Queens County,2023,Jun," 	1,155,400 "," 	1,101,000 "," 	54,400 ", 	4.7 
Queens County,2023,Jul," 	1,157,300 "," 	1,103,200 "," 	54,200 ", 	4.7 
Queens County,2023,Aug," 	1,156,500 "," 	1,100,100 "," 	56,300 ", 	4.9 
Queens County,2023,Sep," 	1,146,800 "," 	1,095,300 "," 	51,600 ", 	4.5 
Queens County,2023,Oct," 	1,154,400 "," 	1,099,600 "," 	54,800 ", 	4.7 
Queens County,2023,Nov," 	1,154,100 "," 	1,104,900 "," 	49,200 ", 	4.3 
Queens County,2023,Dec," 	1,147,200 "," 	1,096,500 "," 	50,600 ", 	4.4 
Queens County,2023,Avg," 	1,153,533 "," 	1,100,442 "," 	53,100 ", 	4.6 
,,,,,,
Queens County,2022,Jan," 	1,146,100 "," 	1,060,900 "," 	85,200 ", 	7.4 
Queens County,2022,Feb," 	1,149,500 "," 	1,071,700 "," 	77,900 ", 	6.8 
Queens County,2022,Mar," 	1,147,400 "," 	1,079,400 "," 	68,000 ", 	5.9 
Queens County,2022,Apr," 	1,133,900 "," 	1,073,900 "," 	60,000 ", 	5.3 
Queens County,2022,May," 	1,135,300 "," 	1,078,400 "," 	57,000 ", 	5.0 
Queens County,2022,Jun," 	1,136,600 "," 	1,079,300 "," 	57,300 ", 	5.0 
Queens County,2022,Jul," 	1,144,300 "," 	1,088,000 "," 	56,300 ", 	4.9 
Queens County,2022,Aug," 	1,142,800 "," 	1,089,800 "," 	53,000 ", 	4.6 
Queens County,2022,Sep," 	1,132,900 "," 	1,086,700 "," 	46,200 ", 	4.1 
Queens County,2022,Oct," 	1,140,700 "," 	1,089,400 "," 	51,200 ", 	4.5 
Queens County,2022,Nov," 	1,139,100 "," 	1,087,400 "," 	51,700 ", 	4.5 
Queens County,2022,Dec," 	1,144,100 "," 	1,092,800 "," 	51,300 ", 	4.5 
Queens County,2022,Avg," 	1,141,058 "," 	1,081,475 "," 	59,592 ", 	5.2 
,,,,,,
Queens County,2021,Jan," 	1,131,000 "," 	989,700 "," 	141,200 ", 	12.5 
Queens County,2021,Feb," 	1,140,500 "," 	1,002,800 "," 	137,700 ", 	12.1 
Queens County,2021,Mar," 	1,144,400 "," 	1,017,000 "," 	127,400 ", 	11.1 
Queens County,2021,Apr," 	1,142,600 "," 	1,019,100 "," 	123,600 ", 	10.8 
Queens County,2021,May," 	1,130,300 "," 	1,016,200 "," 	114,100 ", 	10.1 
Queens County,2021,Jun," 	1,145,000 "," 	1,023,900 "," 	121,200 ", 	10.6 
Queens County,2021,Jul," 	1,151,200 "," 	1,035,200 "," 	116,100 ", 	10.1 
Queens County,2021,Aug," 	1,148,200 "," 	1,038,200 "," 	110,000 ", 	9.6 
Queens County,2021,Sep," 	1,137,200 "," 	1,043,200 "," 	94,100 ", 	8.3 
Queens County,2021,Oct," 	1,143,600 "," 	1,054,000 "," 	89,700 ", 	7.8 
Queens County,2021,Nov," 	1,139,200 "," 	1,056,300 "," 	82,800 ", 	7.3 
Queens County,2021,Dec," 	1,138,100 "," 	1,057,700 "," 	80,500 ", 	7.1 
Queens County,2021,Avg," 	1,140,942 "," 	1,029,442 "," 	111,533 ", 	9.8 
,,,,,,
Queens County,2020,Jan," 	1,192,200 "," 	1,149,200 "," 	42,900 ", 	3.6 
Queens County,2020,Feb," 	1,202,600 "," 	1,158,100 "," 	44,500 ", 	3.7 
Queens County,2020,Mar," 	1,193,400 "," 	1,138,000 "," 	55,500 ", 	4.6 
Queens County,2020,Apr," 	1,051,600 "," 	909,400 "," 	142,300 ", 	13.5 
Queens County,2020,May," 	1,109,300 "," 	852,000 "," 	257,300 ", 	23.2 
Queens County,2020,Jun," 	1,145,800 "," 	938,300 "," 	207,600 ", 	18.1 
Queens County,2020,Jul," 	1,149,200 "," 	946,900 "," 	202,300 ", 	17.6 
Queens County,2020,Aug," 	1,141,600 "," 	970,300 "," 	171,200 ", 	15.0 
Queens County,2020,Sep," 	1,131,900 "," 	970,600 "," 	161,200 ", 	14.2 
Queens County,2020,Oct," 	1,141,000 "," 	992,500 "," 	148,500 ", 	13.0 
Queens County,2020,Nov," 	1,133,800 "," 	995,100 "," 	138,700 ", 	12.2 
Queens County,2020,Dec," 	1,126,700 "," 	996,600 "," 	130,100 ", 	11.5 
Queens County,2020,Avg," 	1,143,258 "," 	1,001,417 "," 	141,842 ", 	12.5 
,,,,,,
Queens County,2019,Jan," 	1,188,200 "," 	1,138,300 "," 	49,900 ", 	4.2 
Queens County,2019,Feb," 	1,197,600 "," 	1,150,600 "," 	46,900 ", 	3.9 
Queens County,2019,Mar," 	1,198,100 "," 	1,155,000 "," 	43,100 ", 	3.6 
Queens County,2019,Apr," 	1,188,600 "," 	1,150,900 "," 	37,700 ", 	3.2 
Queens County,2019,May," 	1,182,800 "," 	1,143,000 "," 	39,900 ", 	3.4 
Queens County,2019,Jun," 	1,188,700 "," 	1,148,100 "," 	40,600 ", 	3.4 
Queens County,2019,Jul," 	1,188,000 "," 	1,144,400 "," 	43,600 ", 	3.7 
Queens County,2019,Aug," 	1,186,400 "," 	1,143,800 "," 	42,600 ", 	3.6 
Queens County,2019,Sep," 	1,189,400 "," 	1,151,900 "," 	37,500 ", 	3.2 
Queens County,2019,Oct," 	1,196,600 "," 	1,156,000 "," 	40,700 ", 	3.4 
Queens County,2019,Nov," 	1,187,600 "," 	1,150,600 "," 	37,000 ", 	3.1 
Queens County,2019,Dec," 	1,187,500 "," 	1,153,400 "," 	34,200 ", 	2.9 
Queens County,2019,Avg," 	1,189,958 "," 	1,148,833 "," 	41,142 ", 	3.5 